agency,requests,year
Natural Resources Canada,0,2018-2019
Natural Sciences and Engineering Research Council of Canada,0,2018-2019
"Non-Public Property and Staff of the Non-Public Funds, Canadian Forces ",0,2018-2019
Northern Pipeline Agency Canada,0,2018-2019
Nunavut Impact Review Board,0,2018-2019
Nunavut Planning Commission,0,2018-2019
Nunavut Surface Rights Tribunal,0,2018-2019
Nunavut Water Board,0,2018-2019
Office of Infrastructure of Canada,0,2018-2019
Office of the Administrator of the Ship-source Oil Pollution Fund,0,2018-2019
Office of the Auditor General of Canada,0,2018-2019
Office of the Commissioner of Lobbying,1,2018-2019
Office of the Commissioner of Official Languages,0,2018-2019
Office of the Correctional Investigator of Canada,0,2018-2019
Office of the Information Commissioner of Canada,0,2018-2019
Office of the Ombudsman for the Department of National Defence and the Canadian Forces,0,2018-2019
Office of the Privacy Commissioner of Canada,0,2018-2019
Office of the Public Sector Integrity Commissioner of Canada,0,2018-2019
Office of the Superintendent of Financial Institutions Canada,0,2018-2019
Old Port of Montreal,0,2018-2019
Oshawa Port Authority,0,2018-2019
Pacific Pilotage Authority Canada,0,2018-2019
Parc Downsview Park Inc.,0,2018-2019
Parks Canada Agency,0,2018-2019
Parole Board of Canada,0,2018-2019
Patented Medicine Prices Review Board,0,2018-2019
Pierre Eliott Trudeau Foundation,0,2018-2019
Polar Knowledge Canada,0,2018-2019
Port Alberni Port Authority,0,2018-2019
Prince Rupert Port Authority,0,2018-2019
Privy Council Office,1,2018-2019
Public Health Agency of Canada,1,2018-2019
Public Prosecution Service of Canada,2,2018-2019
Public Safety Canada,0,2018-2019
Public Sector Pension Investment Board ,0,2018-2019
Public Service Commission of Canada,0,2018-2019
Public Services and Procurement Canada,1,2018-2019
Quebec Port Authority,0,2018-2019
RCMH-MRCF Inc. (Royal Canadian Mint),0,2018-2019
Revera Inc. (Public Sector Pension Investment Board),0,2018-2019
Ridley Terminals Inc.,0,2018-2019
Royal Canadian Mint,0,2018-2019
Royal Canadian Mounted Police,23,2018-2019
Royal Canadian Mounted Police External Review Committee,0,2018-2019
Saguenay Port Authority,0,2018-2019
Sahtu Land and Water Board,0,2018-2019
Sahtu Land Use Planning Board,0,2018-2019
Saint John Port Authority,0,2018-2019
Seaway International Bridge Corporation,0,2018-2019
Security Intelligence Review Committee,0,2018-2019
Sept-ÃŽles Port Authority,0,2018-2019
Shared Services Canada,0,2018-2019
Social Sciences and Humanities Research Council,0,2018-2019
St. John's Port Authority,0,2018-2019
Standards Council of Canada,0,2018-2019
Statistics Canada,0,2018-2019
Sustainable Development Technology Canada,1,2018-2019
Telefilm Canada,0,2018-2019
The Fund for Railway Accidents Involving Designated Goods,0,2018-2019
The National Battlefields Commission,0,2018-2019
Thunder Bay Port Authority,0,2018-2019
Toronto Port Authority,0,2018-2019
Transport Canada,1,2018-2019
Transportation Safety Board of Canada,0,2018-2019
Treasury Board of Canada Secretariat,0,2018-2019
Trois-RiviÃ¨res Port Authority,0,2018-2019
Vancouver Fraser Port Authority,0,2018-2019
Veterans Affairs Canada,1,2018-2019
Veterans Review and Appeal Board,0,2018-2019
VIA Rail Canada,0,2018-2019
Western Economic Diversification Canada,0,2018-2019
Windsor Port Authority,0,2018-2019
Windsor-Detroit Bridge Authority,0,2018-2019
Yukon Environment Socio-Economic Assessment Board,0,2018-2019
Yukon Surface Rights Board,0,2018-2019
